组框机状态,打胶机状态,打胶机是否缺胶,打胶机是否缺料,打胶机是否急停,时间
自动,运行中,否,否,否,2021-11-20 04:18:46
堵线,运行中,否,否,否,2021-11-20 04:19:05
自动,运行中,否,否,否,2021-11-20 04:19:15
堵线,运行中,否,否,否,2021-11-20 04:19:35
自动,运行中,否,否,否,2021-11-20 04:19:56
堵线,运行中,否,否,否,2021-11-20 04:20:15
自动,运行中,否,否,否,2021-11-20 04:20:29
堵线,运行中,否,否,否,2021-11-20 04:20:48
自动,运行中,否,否,否,2021-11-20 04:21:12
堵线,运行中,否,否,否,2021-11-20 04:21:31
自动,运行中,否,否,否,2021-11-20 04:21:47
堵线,运行中,否,否,否,2021-11-20 04:22:06
自动,运行中,否,否,否,2021-11-20 04:22:19
堵线,运行中,否,否,否,2021-11-20 04:22:39
自动,运行中,否,否,否,2021-11-20 04:22:47
堵线,运行中,否,否,否,2021-11-20 04:23:21
自动,运行中,否,否,否,2021-11-20 04:23:38
堵线,运行中,否,否,否,2021-11-20 04:23:51
自动,运行中,否,否,否,2021-11-20 04:24:09
堵线,运行中,否,否,否,2021-11-20 04:24:29
自动,运行中,否,否,否,2021-11-20 04:24:44
堵线,运行中,否,否,否,2021-11-20 04:25:04
自动,运行中,否,否,否,2021-11-20 04:25:48
堵线,运行中,否,否,否,2021-11-20 04:26:08
自动,运行中,否,否,否,2021-11-20 04:26:22
堵线,运行中,否,否,否,2021-11-20 04:26:38
自动,运行中,否,否,否,2021-11-20 04:26:48
堵线,运行中,否,否,否,2021-11-20 04:27:08
自动,运行中,否,否,否,2021-11-20 04:27:21
堵线,运行中,否,否,否,2021-11-20 04:27:40
自动,运行中,否,否,否,2021-11-20 04:27:57
堵线,运行中,否,否,否,2021-11-20 04:28:13
自动,运行中,否,否,否,2021-11-20 04:28:27
堵线,运行中,否,否,否,2021-11-20 04:28:40
自动,运行中,否,否,否,2021-11-20 04:28:48
堵线,运行中,否,否,否,2021-11-20 04:29:07
自动,运行中,否,否,否,2021-11-20 04:29:45
堵线,运行中,否,否,否,2021-11-20 04:29:58
自动,运行中,否,否,否,2021-11-20 04:30:09
堵线,运行中,否,否,否,2021-11-20 04:30:28
堵线,空闲,否,否,否,2021-11-20 04:30:36
自动,空闲,否,否,否,2021-11-20 04:30:49
自动,运行中,否,否,否,2021-11-20 04:31:03
堵线,运行中,否,否,否,2021-11-20 04:31:09
自动,运行中,否,否,否,2021-11-20 04:31:30
堵线,运行中,否,否,否,2021-11-20 04:31:49
自动,运行中,否,否,否,2021-11-20 04:32:00
堵线,运行中,否,否,否,2021-11-20 04:32:19
自动,运行中,否,否,否,2021-11-20 04:32:33
堵线,运行中,否,否,否,2021-11-20 04:32:52
自动,运行中,否,否,否,2021-11-20 04:33:05
堵线,运行中,否,否,否,2021-11-20 04:33:26
自动,运行中,否,否,否,2021-11-20 04:33:35
堵线,运行中,否,否,否,2021-11-20 04:33:48
自动,运行中,否,否,否,2021-11-20 04:34:01
堵线,运行中,否,否,否,2021-11-20 04:34:20
自动,运行中,否,否,否,2021-11-20 04:34:33
堵线,运行中,否,否,否,2021-11-20 04:34:53
自动,运行中,否,否,否,2021-11-20 04:35:04
堵线,运行中,否,否,否,2021-11-20 04:35:20
自动,运行中,否,否,否,2021-11-20 04:35:28
堵线,运行中,否,否,否,2021-11-20 04:36:18
自动,运行中,否,否,否,2021-11-20 04:36:25
堵线,运行中,否,否,否,2021-11-20 04:36:45
自动,运行中,否,否,否,2021-11-20 04:37:51
堵线,运行中,否,否,否,2021-11-20 04:38:10
自动,运行中,否,否,否,2021-11-20 04:38:15
堵线,运行中,否,否,否,2021-11-20 04:38:35
自动,运行中,否,否,否,2021-11-20 04:38:45
堵线,运行中,否,否,否,2021-11-20 04:39:05
自动,运行中,否,否,否,2021-11-20 04:39:33
堵线,运行中,否,否,否,2021-11-20 04:39:53
自动,运行中,否,否,否,2021-11-20 04:40:27
堵线,运行中,否,否,否,2021-11-20 04:40:46
自动,运行中,否,否,否,2021-11-20 04:40:52
堵线,运行中,否,否,否,2021-11-20 04:41:11
自动,运行中,否,否,否,2021-11-20 04:41:19
堵线,运行中,否,否,否,2021-11-20 04:41:38
自动,运行中,否,否,否,2021-11-20 04:41:56
堵线,运行中,否,否,否,2021-11-20 04:42:09
自动,运行中,否,否,否,2021-11-20 04:43:01
堵线,运行中,否,否,否,2021-11-20 04:43:39
自动,运行中,否,否,否,2021-11-20 04:44:15
堵线,运行中,否,否,否,2021-11-20 04:44:34
自动,运行中,否,否,否,2021-11-20 04:44:49
堵线,运行中,否,否,否,2021-11-20 04:45:02
自动,运行中,否,否,否,2021-11-20 04:45:15
堵线,运行中,否,否,否,2021-11-20 04:45:34
自动,运行中,否,否,否,2021-11-20 04:45:42
堵线,运行中,否,否,否,2021-11-20 04:46:02
自动,运行中,否,否,否,2021-11-20 04:46:25
堵线,运行中,否,否,否,2021-11-20 04:46:46
自动,运行中,否,否,否,2021-11-20 04:46:56
堵线,运行中,否,否,否,2021-11-20 04:47:16
自动,运行中,否,否,否,2021-11-20 04:47:21
堵线,运行中,否,否,否,2021-11-20 04:47:40
自动,运行中,否,否,否,2021-11-20 04:47:57
堵线,运行中,否,否,否,2021-11-20 04:48:10
自动,运行中,否,否,否,2021-11-20 04:48:21
堵线,运行中,否,否,否,2021-11-20 04:48:40
自动,运行中,否,否,否,2021-11-20 04:48:53
堵线,运行中,否,否,否,2021-11-20 04:49:49
自动,运行中,否,否,否,2021-11-20 04:50:05
堵线,运行中,否,否,否,2021-11-20 04:50:25
自动,运行中,否,否,否,2021-11-20 04:50:39
堵线,运行中,否,否,否,2021-11-20 04:50:52
自动,运行中,否,否,否,2021-11-20 04:51:09
堵线,运行中,否,否,否,2021-11-20 04:51:22
自动,运行中,否,否,否,2021-11-20 04:51:39
堵线,运行中,否,否,否,2021-11-20 04:51:52
自动,运行中,否,否,否,2021-11-20 04:52:28
堵线,运行中,否,否,否,2021-11-20 04:52:34
自动,运行中,否,否,否,2021-11-20 04:53:42
堵线,运行中,否,否,否,2021-11-20 04:54:49
自动,运行中,否,否,否,2021-11-20 04:55:15
堵线,运行中,否,否,否,2021-11-20 04:55:34
自动,运行中,否,否,否,2021-11-20 04:56:35
堵线,运行中,否,否,否,2021-11-20 04:57:26
自动,运行中,否,否,否,2021-11-20 04:57:28
堵线,运行中,否,否,否,2021-11-20 04:57:48
自动,运行中,否,否,否,2021-11-20 04:57:58
堵线,运行中,否,否,否,2021-11-20 04:58:18
自动,运行中,否,否,否,2021-11-20 04:58:36
堵线,运行中,否,否,否,2021-11-20 04:58:56
自动,运行中,否,否,否,2021-11-20 04:59:03
堵线,运行中,否,否,否,2021-11-20 04:59:23
自动,运行中,否,否,否,2021-11-20 05:00:47
堵线,运行中,否,否,否,2021-11-20 05:00:54
自动,运行中,否,否,否,2021-11-20 05:01:23
堵线,运行中,否,否,否,2021-11-20 05:01:43
自动,运行中,否,否,否,2021-11-20 05:02:01
堵线,运行中,否,否,否,2021-11-20 05:02:20
自动,运行中,否,否,否,2021-11-20 05:02:36
堵线,运行中,否,否,否,2021-11-20 05:02:55
自动,运行中,否,否,否,2021-11-20 05:03:11
堵线,运行中,否,否,否,2021-11-20 05:03:31
自动,运行中,否,否,否,2021-11-20 05:03:47
堵线,运行中,否,否,否,2021-11-20 05:04:07
自动,运行中,否,否,否,2021-11-20 05:04:29
堵线,运行中,否,否,否,2021-11-20 05:04:42
自动,运行中,否,否,否,2021-11-20 05:05:03
堵线,运行中,否,否,否,2021-11-20 05:05:23
自动,运行中,否,否,否,2021-11-20 05:05:49
堵线,运行中,否,否,否,2021-11-20 05:06:09
自动,运行中,否,否,否,2021-11-20 05:06:30
堵线,运行中,否,否,否,2021-11-20 05:06:49
自动,运行中,否,否,否,2021-11-20 05:08:09
堵线,运行中,否,否,否,2021-11-20 05:08:29
自动,运行中,否,否,否,2021-11-20 05:09:03
堵线,运行中,否,否,否,2021-11-20 05:09:22
自动,运行中,否,否,否,2021-11-20 05:09:54
堵线,运行中,否,否,否,2021-11-20 05:10:13
自动,运行中,否,否,否,2021-11-20 05:10:42
堵线,运行中,否,否,否,2021-11-20 05:11:02
自动,运行中,否,否,否,2021-11-20 05:11:31
堵线,运行中,否,否,否,2021-11-20 05:11:50
自动,运行中,否,否,否,2021-11-20 05:12:19
堵线,运行中,否,否,否,2021-11-20 05:12:38
自动,运行中,否,否,否,2021-11-20 05:13:02
堵线,运行中,否,否,否,2021-11-20 05:13:21
自动,运行中,否,否,否,2021-11-20 05:13:43
堵线,运行中,否,否,否,2021-11-20 05:14:02
自动,运行中,否,否,否,2021-11-20 05:14:39
堵线,运行中,否,否,否,2021-11-20 05:14:58
自动,运行中,否,否,否,2021-11-20 05:15:25
堵线,运行中,否,否,否,2021-11-20 05:15:44
自动,运行中,否,否,否,2021-11-20 05:34:41
堵线,运行中,否,否,否,2021-11-20 05:34:56
自动,运行中,否,否,否,2021-11-20 05:35:58
堵线,运行中,否,否,否,2021-11-20 05:36:11
堵线,空闲,否,否,否,2021-11-20 05:36:22
自动,空闲,否,否,否,2021-11-20 05:36:50
堵线,空闲,否,否,否,2021-11-20 05:37:10
自动,空闲,否,否,否,2021-11-20 05:46:00
堵线,空闲,否,否,否,2021-11-20 05:46:35
自动,空闲,否,否,否,2021-11-20 05:47:04
自动,运行中,否,否,否,2021-11-20 05:47:11
自动,空闲,否,否,否,2021-11-20 05:47:47
自动,运行中,否,否,否,2021-11-20 05:48:22
自动,空闲,否,否,否,2021-11-20 05:48:59
自动,运行中,否,否,否,2021-11-20 05:49:04
自动,空闲,否,否,否,2021-11-20 05:49:40
自动,运行中,否,否,否,2021-11-20 05:50:07
自动,空闲,否,否,否,2021-11-20 05:50:41
自动,运行中,否,否,否,2021-11-20 05:50:49
自动,空闲,否,否,否,2021-11-20 05:51:24
自动,运行中,否,否,否,2021-11-20 05:51:29
自动,空闲,否,否,否,2021-11-20 05:52:25
自动,运行中,否,否,否,2021-11-20 05:52:34
自动,空闲,否,否,否,2021-11-20 05:54:28
自动,运行中,否,否,否,2021-11-20 05:54:33
堵线,运行中,否,否,否,2021-11-20 05:56:33
自动,运行中,否,否,否,2021-11-20 05:56:47
堵线,运行中,否,否,否,2021-11-20 05:57:06
自动,运行中,否,否,否,2021-11-20 05:57:22
堵线,运行中,否,否,否,2021-11-20 05:57:41
自动,运行中,否,否,否,2021-11-20 05:57:55
堵线,运行中,否,否,否,2021-11-20 05:58:14
自动,运行中,否,否,否,2021-11-20 05:58:30
堵线,运行中,否,否,否,2021-11-20 05:58:49
自动,运行中,否,否,否,2021-11-20 05:59:08
堵线,运行中,否,否,否,2021-11-20 05:59:27
自动,运行中,否,否,否,2021-11-20 06:00:01
堵线,运行中,否,否,否,2021-11-20 06:00:21
自动,运行中,否,否,否,2021-11-20 06:00:45
堵线,运行中,否,否,否,2021-11-20 06:00:58
自动,运行中,否,否,否,2021-11-20 06:01:11
堵线,运行中,否,否,否,2021-11-20 06:01:31
自动,运行中,否,否,否,2021-11-20 06:01:49
堵线,运行中,否,否,否,2021-11-20 06:02:09
自动,运行中,否,否,否,2021-11-20 06:02:52
堵线,运行中,否,否,否,2021-11-20 06:03:11
自动,运行中,否,否,否,2021-11-20 06:03:17
堵线,运行中,否,否,否,2021-11-20 06:03:36
自动,运行中,否,否,否,2021-11-20 06:03:47
堵线,运行中,否,否,否,2021-11-20 06:04:06
自动,运行中,否,否,否,2021-11-20 06:04:14
堵线,运行中,否,否,否,2021-11-20 06:04:34
自动,运行中,否,否,否,2021-11-20 06:04:50
堵线,运行中,否,否,否,2021-11-20 06:05:09
自动,运行中,否,否,否,2021-11-20 06:05:28
堵线,运行中,否,否,否,2021-11-20 06:06:13
自动,运行中,否,否,否,2021-11-20 06:06:29
堵线,运行中,否,否,否,2021-11-20 06:06:49
自动,运行中,否,否,否,2021-11-20 06:07:02
堵线,运行中,否,否,否,2021-11-20 06:07:21
自动,运行中,否,否,否,2021-11-20 06:07:53
堵线,运行中,否,否,否,2021-11-20 06:08:12
自动,运行中,否,否,否,2021-11-20 06:08:17
堵线,运行中,否,否,否,2021-11-20 06:08:37
自动,运行中,否,否,否,2021-11-20 06:08:42
堵线,运行中,否,否,否,2021-11-20 06:09:01
自动,运行中,否,否,否,2021-11-20 06:09:07
堵线,运行中,否,否,否,2021-11-20 06:09:26
自动,运行中,否,否,否,2021-11-20 06:09:34
堵线,运行中,否,否,否,2021-11-20 06:09:53
自动,运行中,否,否,否,2021-11-20 06:09:56
堵线,运行中,否,否,否,2021-11-20 06:10:15
自动,运行中,否,否,否,2021-11-20 06:11:31
堵线,运行中,否,否,否,2021-11-20 06:11:51
自动,运行中,否,否,否,2021-11-20 06:12:29
堵线,运行中,否,否,否,2021-11-20 06:12:31
自动,运行中,否,否,否,2021-11-20 06:12:44
堵线,运行中,否,否,否,2021-11-20 06:13:06
自动,运行中,否,否,否,2021-11-20 06:13:24
堵线,运行中,否,否,否,2021-11-20 06:13:43
自动,运行中,否,否,否,2021-11-20 06:14:05
堵线,运行中,否,否,否,2021-11-20 06:14:21
自动,运行中,否,否,否,2021-11-20 06:14:39
堵线,运行中,否,否,否,2021-11-20 06:14:58
自动,运行中,否,否,否,2021-11-20 06:15:48
堵线,运行中,否,否,否,2021-11-20 06:16:03
自动,运行中,否,否,否,2021-11-20 06:16:16
堵线,运行中,否,否,否,2021-11-20 06:17:08
自动,运行中,否,否,否,2021-11-20 06:17:59
堵线,运行中,否,否,否,2021-11-20 06:18:18
自动,运行中,否,否,否,2021-11-20 06:18:39
堵线,运行中,否,否,否,2021-11-20 06:18:58
自动,运行中,否,否,否,2021-11-20 06:19:19
堵线,运行中,否,否,否,2021-11-20 06:19:38
自动,运行中,否,否,否,2021-11-20 06:19:53
堵线,运行中,否,否,否,2021-11-20 06:20:12
自动,运行中,否,否,否,2021-11-20 06:20:36
堵线,运行中,否,否,否,2021-11-20 06:21:30
自动,运行中,否,否,否,2021-11-20 06:21:51
堵线,运行中,否,否,否,2021-11-20 06:22:10
自动,运行中,否,否,否,2021-11-20 06:22:26
堵线,运行中,否,否,否,2021-11-20 06:22:45
自动,运行中,否,否,否,2021-11-20 06:23:07
堵线,运行中,否,否,否,2021-11-20 06:23:20
自动,运行中,否,否,否,2021-11-20 06:23:41
堵线,运行中,否,否,否,2021-11-20 06:24:02
自动,运行中,否,否,否,2021-11-20 06:24:27
堵线,运行中,否,否,否,2021-11-20 06:24:40
自动,运行中,否,否,否,2021-11-20 06:25:01
堵线,运行中,否,否,否,2021-11-20 06:25:21
自动,运行中,否,否,否,2021-11-20 06:25:34
堵线,运行中,否,否,否,2021-11-20 06:25:53
自动,运行中,否,否,否,2021-11-20 06:26:04
堵线,运行中,否,否,否,2021-11-20 06:26:23
自动,运行中,否,否,否,2021-11-20 06:26:45
堵线,运行中,否,否,否,2021-11-20 06:26:58
自动,运行中,否,否,否,2021-11-20 06:27:17
堵线,运行中,否,否,否,2021-11-20 06:27:36
自动,运行中,否,否,否,2021-11-20 06:27:44
堵线,运行中,否,否,否,2021-11-20 06:28:04
自动,运行中,否,否,否,2021-11-20 06:28:19
堵线,运行中,否,否,否,2021-11-20 06:28:39
自动,运行中,否,否,否,2021-11-20 06:29:00
堵线,运行中,否,否,否,2021-11-20 06:29:19
自动,运行中,否,否,否,2021-11-20 06:31:12
堵线,运行中,否,否,否,2021-11-20 06:31:30
自动,运行中,否,否,否,2021-11-20 06:31:45
堵线,运行中,否,否,否,2021-11-20 06:32:05
自动,运行中,否,否,否,2021-11-20 06:32:18
堵线,运行中,否,否,否,2021-11-20 06:32:37
自动,运行中,否,否,否,2021-11-20 06:32:43
堵线,运行中,否,否,否,2021-11-20 06:33:02
自动,运行中,否,否,否,2021-11-20 06:33:12
堵线,运行中,否,否,否,2021-11-20 06:33:32
自动,运行中,否,否,否,2021-11-20 06:33:40
堵线,运行中,否,否,否,2021-11-20 06:33:59
自动,运行中,否,否,否,2021-11-20 06:34:40
堵线,运行中,否,否,否,2021-11-20 06:35:00
自动,运行中,否,否,否,2021-11-20 06:35:24
堵线,运行中,否,否,否,2021-11-20 06:35:40
自动,运行中,否,否,否,2021-11-20 06:36:14
堵线,运行中,否,否,否,2021-11-20 06:36:34
自动,运行中,否,否,否,2021-11-20 06:36:51
堵线,运行中,否,否,否,2021-11-20 06:37:04
自动,运行中,否,否,否,2021-11-20 06:37:19
堵线,运行中,否,否,否,2021-11-20 06:37:39
自动,运行中,否,否,否,2021-11-20 06:37:57
堵线,运行中,否,否,否,2021-11-20 06:38:17
自动,运行中,否,否,否,2021-11-20 06:38:30
堵线,运行中,否,否,否,2021-11-20 06:38:49
自动,运行中,否,否,否,2021-11-20 06:39:08
堵线,运行中,否,否,否,2021-11-20 06:39:21
自动,运行中,否,否,否,2021-11-20 06:39:37
堵线,运行中,否,否,否,2021-11-20 06:39:56
自动,运行中,否,否,否,2021-11-20 06:40:15
堵线,运行中,否,否,否,2021-11-20 06:40:34
自动,运行中,否,否,否,2021-11-20 06:40:55
堵线,运行中,否,否,否,2021-11-20 06:41:12
自动,运行中,否,否,否,2021-11-20 06:41:28
堵线,运行中,否,否,否,2021-11-20 06:41:48
自动,运行中,否,否,否,2021-11-20 06:42:06
堵线,运行中,否,否,否,2021-11-20 06:42:25
自动,运行中,否,否,否,2021-11-20 06:42:50
堵线,运行中,否,否,否,2021-11-20 06:43:03
自动,运行中,否,否,否,2021-11-20 06:43:23
堵线,运行中,否,否,否,2021-11-20 06:43:36
自动,运行中,否,否,否,2021-11-20 06:43:52
堵线,运行中,否,否,否,2021-11-20 06:44:11
自动,运行中,否,否,否,2021-11-20 06:44:29
堵线,运行中,否,否,否,2021-11-20 06:44:48
自动,运行中,否,否,否,2021-11-20 06:45:07
堵线,运行中,否,否,否,2021-11-20 06:45:26
自动,运行中,否,否,否,2021-11-20 06:45:54
堵线,运行中,否,否,否,2021-11-20 06:46:13
自动,运行中,否,否,否,2021-11-20 06:46:34
堵线,运行中,否,否,否,2021-11-20 06:46:53
自动,运行中,否,否,否,2021-11-20 06:47:09
堵线,运行中,否,否,否,2021-11-20 06:47:28
自动,运行中,否,否,否,2021-11-20 06:47:43
堵线,运行中,否,否,否,2021-11-20 06:48:02
自动,运行中,否,否,否,2021-11-20 06:48:21
堵线,运行中,否,否,否,2021-11-20 06:48:40
自动,运行中,否,否,否,2021-11-20 06:48:56
堵线,运行中,否,否,否,2021-11-20 06:49:15
自动,运行中,否,否,否,2021-11-20 06:49:28
堵线,运行中,否,否,否,2021-11-20 06:49:48
自动,运行中,否,否,否,2021-11-20 06:50:39
堵线,运行中,否,否,否,2021-11-20 06:50:58
自动,运行中,否,否,否,2021-11-20 06:52:03
堵线,运行中,否,否,否,2021-11-20 06:52:40
自动,运行中,否,否,否,2021-11-20 06:52:45
堵线,运行中,否,否,否,2021-11-20 06:53:04
自动,运行中,否,否,否,2021-11-20 06:58:02
堵线,运行中,否,否,否,2021-11-20 06:58:15
自动,运行中,否,否,否,2021-11-20 06:58:45
堵线,运行中,否,否,否,2021-11-20 06:59:01
自动,运行中,否,否,否,2021-11-20 06:59:17
堵线,运行中,否,否,否,2021-11-20 06:59:36
自动,运行中,否,否,否,2021-11-20 06:59:58
堵线,运行中,否,否,否,2021-11-20 07:00:11
自动,运行中,否,否,否,2021-11-20 07:00:35
堵线,运行中,否,否,否,2021-11-20 07:00:54
自动,运行中,否,否,否,2021-11-20 07:01:14
堵线,运行中,否,否,否,2021-11-20 07:01:27
自动,运行中,否,否,否,2021-11-20 07:01:51
堵线,运行中,否,否,否,2021-11-20 07:02:10
自动,运行中,否,否,否,2021-11-20 07:02:32
堵线,运行中,否,否,否,2021-11-20 07:02:45
自动,运行中,否,否,否,2021-11-20 07:03:01
堵线,运行中,否,否,否,2021-11-20 07:03:20
自动,运行中,否,否,否,2021-11-20 07:03:39
堵线,运行中,否,否,否,2021-11-20 07:03:58
自动,运行中,否,否,否,2021-11-20 07:04:20
堵线,运行中,否,否,否,2021-11-20 07:04:39
自动,运行中,否,否,否,2021-11-20 07:04:56
堵线,运行中,否,否,否,2021-11-20 07:05:12
自动,运行中,否,否,否,2021-11-20 07:05:30
堵线,运行中,否,否,否,2021-11-20 07:05:50
自动,运行中,否,否,否,2021-11-20 07:06:08
堵线,运行中,否,否,否,2021-11-20 07:06:27
自动,运行中,否,否,否,2021-11-20 07:06:51
堵线,运行中,否,否,否,2021-11-20 07:07:10
自动,运行中,否,否,否,2021-11-20 07:07:26
堵线,运行中,否,否,否,2021-11-20 07:07:46
自动,运行中,否,否,否,2021-11-20 07:08:08
堵线,运行中,否,否,否,2021-11-20 07:08:21
自动,运行中,否,否,否,2021-11-20 07:08:48
堵线,运行中,否,否,否,2021-11-20 07:09:07
自动,运行中,否,否,否,2021-11-20 07:09:26
堵线,运行中,否,否,否,2021-11-20 07:09:45
自动,运行中,否,否,否,2021-11-20 07:10:01
堵线,运行中,否,否,否,2021-11-20 07:10:21
自动,运行中,否,否,否,2021-11-20 07:10:39
堵线,运行中,否,否,否,2021-11-20 07:10:59
自动,运行中,否,否,否,2021-11-20 07:11:14
堵线,运行中,否,否,否,2021-11-20 07:11:34
自动,运行中,否,否,否,2021-11-20 07:11:50
堵线,运行中,否,否,否,2021-11-20 07:12:10
自动,运行中,否,否,否,2021-11-20 07:12:25
堵线,运行中,否,否,否,2021-11-20 07:12:43
自动,运行中,否,否,否,2021-11-20 07:13:06
堵线,运行中,否,否,否,2021-11-20 07:13:23
自动,运行中,否,否,否,2021-11-20 07:13:46
堵线,运行中,否,否,否,2021-11-20 07:13:59
自动,运行中,否,否,否,2021-11-20 07:14:26
堵线,运行中,否,否,否,2021-11-20 07:14:46
自动,运行中,否,否,否,2021-11-20 07:15:02
堵线,运行中,否,否,否,2021-11-20 07:15:21
自动,运行中,否,否,否,2021-11-20 07:15:39
堵线,运行中,否,否,否,2021-11-20 07:15:59
自动,运行中,否,否,否,2021-11-20 07:16:15
堵线,运行中,否,否,否,2021-11-20 07:16:35
自动,运行中,否,否,否,2021-11-20 07:16:53
堵线,运行中,否,否,否,2021-11-20 07:17:13
自动,运行中,否,否,否,2021-11-20 07:17:31
堵线,运行中,否,否,否,2021-11-20 07:17:50
自动,运行中,否,否,否,2021-11-20 07:18:09
堵线,运行中,否,否,否,2021-11-20 07:18:28
自动,运行中,否,否,否,2021-11-20 07:18:44
堵线,运行中,否,否,否,2021-11-20 07:19:01
自动,运行中,否,否,否,2021-11-20 07:19:20
堵线,运行中,否,否,否,2021-11-20 07:19:39
自动,运行中,否,否,否,2021-11-20 07:19:55
堵线,运行中,否,否,否,2021-11-20 07:20:15
自动,运行中,否,否,否,2021-11-20 07:21:08
堵线,运行中,否,否,否,2021-11-20 07:21:27
自动,运行中,否,否,否,2021-11-20 07:21:48
堵线,运行中,否,否,否,2021-11-20 07:22:23
自动,运行中,否,否,否,2021-11-20 07:23:13
堵线,运行中,否,否,否,2021-11-20 07:23:32
自动,运行中,否,否,否,2021-11-20 07:23:50
堵线,运行中,否,否,否,2021-11-20 07:24:09
自动,运行中,否,否,否,2021-11-20 07:24:28
堵线,运行中,否,否,否,2021-11-20 07:24:47
自动,运行中,否,否,否,2021-11-20 07:25:05
堵线,运行中,否,否,否,2021-11-20 07:25:24
自动,运行中,否,否,否,2021-11-20 07:25:48
堵线,运行中,否,否,否,2021-11-20 07:26:07
自动,运行中,否,否,否,2021-11-20 07:26:36
堵线,运行中,否,否,否,2021-11-20 07:26:55
自动,运行中,否,否,否,2021-11-20 07:27:13
堵线,运行中,否,否,否,2021-11-20 07:27:32
自动,运行中,否,否,否,2021-11-20 07:28:08
堵线,运行中,否,否,否,2021-11-20 07:28:27
自动,运行中,否,是,否,2021-11-20 07:28:40
堵线,运行中,否,是,否,2021-11-20 07:28:59
自动,运行中,否,是,否,2021-11-20 07:29:13
堵线,运行中,否,是,否,2021-11-20 07:29:26
堵线,空闲,否,是,否,2021-11-20 07:29:37
自动,空闲,否,是,否,2021-11-20 07:29:50
堵线,空闲,否,是,否,2021-11-20 07:30:09
自动,空闲,否,是,否,2021-11-20 07:30:30
堵线,空闲,否,是,否,2021-11-20 07:30:49
自动,空闲,否,是,否,2021-11-20 07:31:02
自动,空闲,否,否,否,2021-11-20 07:45:36
自动,空闲,否,是,否,2021-11-20 07:46:07
自动,空闲,否,否,否,2021-11-20 07:47:02
自动,运行中,否,否,否,2021-11-20 07:47:05
自动,运行中,否,是,否,2021-11-20 07:48:22
堵线,运行中,否,是,否,2021-11-20 07:48:25
自动,运行中,否,是,否,2021-11-20 07:48:41
堵线,运行中,否,是,否,2021-11-20 07:49:00
堵线,空闲,否,是,否,2021-11-20 07:49:11
自动,空闲,否,是,否,2021-11-20 07:49:50
堵线,空闲,否,是,否,2021-11-20 07:50:09
自动,空闲,否,是,否,2021-11-20 07:50:44
堵线,空闲,否,是,否,2021-11-20 07:51:01
自动,空闲,否,是,否,2021-11-20 07:51:27
